id,product_name,original_price,return_and_exchange_policy,discount_rate,inventory_type,gift_item_title,quantity_sold,brand_id,is_warranty_applied,is_authentic,origin,expiry_time,skin_type,store_id,Volume/Mass,Unit
190641506,Sua Rua Mat Diu Nhe Cho Da Dau CeraVe Foaming Cleanser 473ml,440000,Trong 30 ngay,18,instock,0 qua tang kem,500.0,332519,Khong,Co,My,Xem tren bao bi,"da mun, da dau",11978,473,ml
460758,Sua rua mat cho da mun POND'S tich hop cong nghe micro foam ngua mun sach sau sang da 100g,92000,Trong 30 ngay,21,instock,0 qua tang kem,2051.0,21273,Khong,Co,Viet Nam,Xem tren bao bi,khong co thong tin,1,100,g
78007672,Sua rua mat khong gay kich ung cho da nhay cam Eucerin pH5 Facial Cleanser 400ml,279000,Trong 30 ngay,32,instock,0 qua tang kem,917.0,114328,Khong,Co,Duc,Xem tren bao bi,moi loai da,11978,400,ml
272126105,Combo 2 Sua rua mat Simple giup da sach thoang 150mlx2,264000,Trong 30 ngay,18,instock,0 qua tang kem,7445.0,185075,Khong,Co,Ba Lan,Xem tren bao bi,khong co thong tin,1,150,ml
21481196,Sua Rua Mat Nam Ngan Ngua Mun Sach Nhon Trang Da Han Quoc Cao Cap Dabo Black Force (120ml) - Hang Chinh Hang,105000,Trong 30 ngay,0,instock,0 qua tang kem,835.0,21253,Khong,Co,Han Quoc,Xem tren bao bi,moi loai da,46296,120,ml
35526543,Sua Rua Mat Neutrogena Lam Sach Sau Va Kiem Soat Nhon,125000,Trong 30 ngay,21,backorder,0 qua tang kem,4348.0,307609,Khong,Co,Thai Lan,Xem tren bao bi,khong co thong tin,76260,,
272113577,Sua Rua Mat Dang Gel Diu Nhe Danh Cho Da Nhay Cam Va Da Kho Laneige Water Bank Blue Ha Cleansing Gel 200ml,650000,Trong 30 ngay,5,instock,1 qua tang kem tri gia 1.230.000D,1.0,64932,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,1,200,ml
191081573,Sua Rua Mat Cho Da Nhon Mun CeraVe Foaming Cleanser Gel Moussant 236ml,330000,Trong 30 ngay,14,instock,0 qua tang kem,100.0,332519,Khong,Co,My,Xem tren bao bi,"da mun, da dau",39998,236,ml
45900941,Sua rua mat khong co xa phong va ho tro giam thieu te bao chet SEBIACLEAR Gel Moussant SVR 400ml,540000,Trong 30 ngay,14,instock,0 qua tang kem,22.0,52207,Khong,Co,Phap,Xem tren bao bi,khong co thong tin,1,400,ml
70661243,Gel rua mat tao bot lam sach & giam nhon cho da dau nhay cam La Roche-Posay Effaclar Purifying Foaming Gel (400ml),469000,Trong 30 ngay,0,instock,0 qua tang kem,90.0,47489,Khong,Co,Phap,Xem tren bao bi,moi loai da,4887,400,ml
98902719,Sua rua mat tao bot chiet xuat to tam trang Senka Perfect Whip 120g tang Sua rua mat Senka Perfect Whip 50g,154000,Trong 30 ngay,30,instock,1 qua tang kem,4458.0,86206,Khong,Co,Nhat Ban,Xem tren bao bi,khong co thong tin,-1,120,g
2397037,Sua Rua Mat Tao Bot Chiet Xuat Dat Set Trang Senka Perfect White Clay New 14840 (120g),120000,Trong 30 ngay,19,instock,0 qua tang kem,1114.0,86206,Khong,Co,Nhat Ban,Xem tren bao bi,khong co thong tin,6423,120,g
174834852,Sua Rua Mat Dang Gel Danh Cho Da Nhon Mun SVR Sebiaclear Gel Moussant 400ml,540000,Trong 30 ngay,23,instock,0 qua tang kem,369.0,52207,Khong,Co,Phap,Xem tren bao bi,"da mun, da dau",153808,400,ml
191365625,"Combo 2 sua rua mat Simple giup cap am, da trong khoe va min mang - cho da kho nhay cam 150ml [CHINH HANG DOC QUYEN] [MOI]",264000,Trong 30 ngay,18,instock,0 qua tang kem,6086.0,185075,Khong,Co,Ba Lan,Xem tren bao bi,khong co thong tin,1,150,ml
441649,Sua Rua Mat Sang Da Nivea Men 88836 (100g),82000,Trong 30 ngay,12,backorder,0 qua tang kem,658.0,22653,Khong,Co,Thai Lan,Xem tren bao bi,moi loai da,120849,100,g
1362447,"Sua Rua Mat Cetaphil Gentle Skin Cleaner (500ml) - 8394107341305,9318637069637",419000,Trong 30 ngay,14,instock,0 qua tang kem,7092.0,149699,Khong,Co,Canada,Xem tren bao bi,moi loai da,11978,500,ml
16632033,Sua Rua Mat Lam Sach Va Giam Mun Acne-Aid Liquid Cleanser 100ml,175000,Trong 30 ngay,9,backorder,0 qua tang kem,871.0,426899,Khong,Co,Thai Lan,Xem tren bao bi,"da mun, da dau",11978,100,ml
33785195,Sua rua mat ho tro tri mun Senka Perfect Whip Acne Care 100g,114400,Trong 30 ngay,23,instock,0 qua tang kem,2239.0,86206,Khong,Co,Viet Nam,Xem tren bao bi,khong co thong tin,1,100,g
35526564,Sua Rua Mat Neutrogena Ngua Mun Dau Den 100ml,125000,Trong 30 ngay,24,backorder,0 qua tang kem,620.0,307609,Khong,Co,Thai Lan,Xem tren bao bi,khong co thong tin,76260,100,ml
13415841,Sua Rua Mat Nghe Thai Duong (90g),35000,Trong 30 ngay,9,instock,0 qua tang kem,1059.0,270981,Khong,Co,Viet Nam,Xem tren bao bi,khong co thong tin,1,90,g
14707534,Sua Rua Mat Sua Bo Trang Da Thorakao 120g,68000,Trong 30 ngay,32,instock,0 qua tang kem,562.0,199937,Khong,Co,Khong xac dinh,Xem tren bao bi,khong co thong tin,11618,120,g
200938553,Sua Rua Mat Vit C Duong Sang Mo Tham Senka,115000,Trong 30 ngay,0,instock,1 qua tang kem,501.0,86206,Khong,Co,Nhat Ban,Xem tren bao bi,moi loai da,6423,,
54414221,Sua Rua Mat NIVEA MEN DEEP Than Den Hoat Tinh Hut Nhon Sang Da (100G) - 84415,99000,Trong 30 ngay,12,backorder,0 qua tang kem,1357.0,548147,Khong,Co,Khong xac dinh,Xem tren bao bi,khong co thong tin,120849,,
25108217,Kem rua mat ngan ngua mun Acnes Creamy Wash (100g),68000,Trong 30 ngay,20,instock,0 qua tang kem,25651.0,112887,Khong,Co,Viet Nam,Xem tren bao bi,"da mun, da dau",1,100,g
119251217,Sua rua mat diu lanh cho da nhay cam Cetaphil Gentle Skin Cleanser 125ml,150000,Trong 30 ngay,5,backorder,0 qua tang kem,13.0,149699,Khong,Co,Canada,Xem tren bao bi,moi loai da,39998,125,ml
31494236,"CeraVe Hydrating Cleanser - Sua Rua Mat Cho Da Kho, Hon Hop Kho Nhay Cam",265000,Trong 30 ngay,0,backorder,0 qua tang kem,0.0,332519,Khong,Co,Phap,Xem tren bao bi,da kho,120432,,
92096007,Sua Rua Mat NIVEA MEN Deep Muoi Himalaya Ngua Mun | Sang Da (100 g),99000,Trong 30 ngay,12,backorder,0 qua tang kem,510.0,548147,Khong,Co,Thai Lan,Xem tren bao bi,moi loai da,120849,,
85660175,Sua Rua Mat Nghe Hung Yen Cocoon 140ml,195000,Trong 30 ngay,20,instock,0 qua tang kem,197.0,542605,Khong,Co,Viet Nam,Xem tren bao bi,moi loai da,8771,140,ml
196930516,Sua Rua Mat SVR Sebiaclear Gel Moussant (55ml),140000,Trong 30 ngay,14,instock,0 qua tang kem,269.0,52207,Khong,Co,Phap,Xem tren bao bi,khong co thong tin,-1,55,ml
35933597,Sua Rua Mat Lam Sach Va Giam Mun Acne-Aid Liquid Cleanser 100ml,175000,Trong 30 ngay,9,backorder,0 qua tang kem,403.0,426899,Khong,Co,Thai Lan,Xem tren bao bi,"da mun, da dau",11978,100,ml
54414095,Sua Rua Mat NIVEA MEN Bun Khoang Sang Da | Mo Tham Mun (100 g) - 81775,82000,Trong 30 ngay,12,backorder,0 qua tang kem,978.0,548147,Khong,Co,Thai Lan,Xem tren bao bi,khong co thong tin,120849,,
190641510,Sua Rua Mat Diu Nhe Cho Da Dau CeraVe Foaming Cleanser 236ml,330000,Trong 30 ngay,12,instock,0 qua tang kem,373.0,332519,Khong,Co,My,Xem tren bao bi,"da mun, da dau",11978,236,ml
2123245,Sua Rua Mat Min Va San Chac Da Senka Perfect Whip Collagen In 120G - [4901872462087],119000,Trong 30 ngay,18,instock,0 qua tang kem,1664.0,86206,Khong,Co,Nhat Ban,Xem tren bao bi,da lao hoa,1,,
39518099,Sua Rua Mat Va Toan Than Cao Cap Gamma Chemecals Adaphil 125ml,80000,Trong 30 ngay,26,instock,0 qua tang kem,592.0,257507,Khong,Co,Viet Nam,Xem tren bao bi,khong co thong tin,-1,125,ml
34481992,Sua rua mat danh cho nam BullDog Face Wash 150ml,259000,Trong 30 ngay,0,backorder,0 qua tang kem,583.0,148994,Khong,Co,Anh,Xem tren bao bi,khong co thong tin,18327,150,ml
24469772,Sua Rua Mat Diu Nhe Cho Da Thuong Den Da Dau Cerave Foaming Facial Cleanser (355ml),385000,Trong 30 ngay,4,backorder,0 qua tang kem,355.0,332519,Khong,Co,My,Xem tren bao bi,khong co thong tin,77388,355,ml
38339909,Sua Rua Mat Giu Am Hada Labo ADVANCED NOURISH Hyaluron Cleanser 80g,80000,Trong 30 ngay,1,instock,0 qua tang kem,341.0,22013,Khong,Co,Viet Nam,Xem tren bao bi,khong co thong tin,211,80,g
71999833,Sua rua mat dang Gel Decumar Clean Advanced 100gr hoan toan moi kiem soat nhon mun,105000,Trong 30 ngay,0,backorder,0 qua tang kem,633.0,225363,Khong,Co,Viet Nam,Xem tren bao bi,moi loai da,17149,100,g
272126248,"Combo 2 sua rua mat Simple giup cap am, da trong khoe va min mang - cho da kho nhay cam 150ml x2[CHINH HANG DOC QUYEN] [MOI]",264000,Trong 30 ngay,22,instock,0 qua tang kem,202.0,185075,Khong,Co,Ba Lan,Xem tren bao bi,khong co thong tin,1,150,ml
1514805,Sua Rua Mat Neem Ngua Mun Trung Ca Himalaya Herbals (150ml),151000,Trong 30 ngay,0,backorder,0 qua tang kem,659.0,159419,Khong,Co,An Do,Xem tren bao bi,khong co thong tin,1694,150,ml
55705554,Sua rua mat NIVEA Pearl White giup trang da ngoc trai (100g) - 81295,79000,Trong 30 ngay,13,backorder,0 qua tang kem,312.0,22653,Khong,Co,Khong xac dinh,Xem tren bao bi,khong co thong tin,120849,100,g
25917938,Sua Rua Mat Ngua Mun Hiruscar Anti-Acne Cleanser + 100ml,246000,Trong 30 ngay,24,instock,0 qua tang kem,258.0,502135,Khong,Co,Thai Lan,Xem tren bao bi,khong co thong tin,107898,100,ml
33606875,Sua rua mat tri mun va se khit lo chan long Paula's Choice Clear Pore Normalizing Cleanser 177 ml,420000,Trong 30 ngay,0,backorder,0 qua tang kem,16.0,182293,Khong,Co,My,Xem tren bao bi,khong co thong tin,18907,,
1601735,Sua Rua Mat Tea Tree Skin Clearing Facial Wash (250ml),349000,Trong 30 ngay,0,instock,0 qua tang kem,923.0,160941,Khong,Co,Anh,Xem tren bao bi,"da mun, da dau",1837,250,ml
6884515,Sua rua mat dang bun Tra tram - Naruko Tea Tree Purifying Clay Mask and Cleanser in 1 (120g),239000,Trong 30 ngay,23,backorder,0 qua tang kem,762.0,186549,Khong,Co,Dai Loan,Xem tren bao bi,khong co thong tin,156958,120,g
119251241,Sua rua mat diu lanh cho da nhay cam Cetaphil Gentle Skin Cleanser 250ml,256000,Trong 30 ngay,4,backorder,0 qua tang kem,2.0,149699,Khong,Co,Canada,Xem tren bao bi,khong co thong tin,39998,250,ml
911333,"Sua Rua Mat Duong Am, Lam Sach Sau Chiet Xuat Hoa Cuc - Oribe Facial Cleanser 50g",75000,Trong 30 ngay,33,backorder,0 qua tang kem,686.0,238407,Khong,Co,Viet Nam,Xem tren bao bi,moi loai da,1178,50,g
262729359,Combo 2 Sua rua mat danh cho da mun Senka Perfect Whip Acne Care 100g x 2,229000,Trong 30 ngay,15,instock,1 qua tang kem,243.0,86206,Khong,Co,Nhat Ban,Xem tren bao bi,khong co thong tin,6423,100,g
184444737,Sua rua mat diu nhe Pharmacity Sensitive Skin Cleanser (500ml),289000,Trong 30 ngay,0,backorder,0 qua tang kem,139.0,5104653,Khong,Co,Thai Lan,Xem tren bao bi,khong co thong tin,221608,500,ml
68491609,Sua rua mat diu nhe Happy Event Gentle Cleanser 120ml,89000,Trong 30 ngay,16,instock,0 qua tang kem,506.0,164393,Khong,Co,Viet Nam,Xem tren bao bi,khong co thong tin,1,120,ml
22293001,"Combo sua rua mat kiem soat ba nhon chiet xuat tu than hoat tinh , sua rua mat ngan ngua mun, phuc hoi da chiet xuat tu tra xanh, sua rua mat lam sang min da chiet xuat tu lua mach 3W CLINIC ",87000,Trong 30 ngay,0,backorder,0 qua tang kem,1468.0,48381,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,26890,,
1362445,Sua Rua Mat Cetaphil Gentle Skin Cleanser (125ml),130000,Trong 30 ngay,0,backorder,0 qua tang kem,303.0,149699,Khong,Co,Khong xac dinh,Xem tren bao bi,khong co thong tin,77814,125,ml
221226549,Combo 2 Sua Rua Mat Am Min Va San Chac Da Senka Perfect Whip Collagen In 120g x 2,238000,Trong 30 ngay,15,instock,1 qua tang kem,581.0,86206,Khong,Co,Nhat Ban,Xem tren bao bi,khong co thong tin,6423,120,g
84801947,Sua Rua Mat Ho Tro Ngua Mun Neutrogena Oil-Free Acne Wash 269ml - My ( mau moi ),255000,Trong 30 ngay,0,backorder,0 qua tang kem,258.0,307609,Khong,Co,My,Xem tren bao bi,khong co thong tin,7731,269,ml
7221953,Sua Rua Mat Can Bang Do Am Va Giam Dau Skin Balancing Oil Reducing Cleanser 237ml,593000,Trong 30 ngay,0,backorder,0 qua tang kem,12.0,182293,Khong,Co,My,Xem tren bao bi,khong co thong tin,77814,237,ml
3282871,Gel rua mat tao bot lam sach & giam nhon cho da dau nhay cam La Roche-Posay Effaclar Purifying Foaming Gel (400ml),469000,Trong 30 ngay,0,instock,0 qua tang kem,34.0,47489,Khong,Co,Phap,Xem tren bao bi,khong co thong tin,4887,400,ml
178559959,"Sua Rua Mat Nghe Nhan Sam MELA Lam Sach Diu Nhe Giam Mun Trang Da, Giam Tham Va Can Bang PH 200ml - ML08",180000,Trong 30 ngay,0,backorder,0 qua tang kem,425.0,5211293,Khong,Co,Viet Nam,Xem tren bao bi,moi loai da,284816,200,ml
30794077,Sua Rua Mat Dang Gel Giup Lam Sach Sau Va Giam Ba Nhon Tren Da Normaderm Phytosolution Intensive Purifying Gel 200Ml,435000,Trong 30 ngay,5,instock,0 qua tang kem,289.0,26689,Khong,Co,Phap,Xem tren bao bi,khong co thong tin,4887,,
6418985,Sua rua mat tinh chat than khang khuan danh cho nam Dabo Han quoc ( 120ml) - HANG CHINH HANG,105000,Trong 30 ngay,0,backorder,0 qua tang kem,583.0,21253,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,46296,120,ml
68617503,Papulex Sua Rua Mat Papulex Ngan Ngua & Giam Mun Trung Ca Moussant Soap Free Cleansing Gel 150ml,380000,Trong 30 ngay,11,backorder,0 qua tang kem,321.0,331867,Khong,Co,Phap,Xem tren bao bi,"da mun, da dau",11978,150,ml
911335,"Sua Rua Mat Duong Am, Lam Sach Sau Chiet Xuat Hoa Cuc - Oribe Facial Cleanser 100g",92000,Trong 30 ngay,2,backorder,0 qua tang kem,603.0,238407,Khong,Co,Viet Nam,Xem tren bao bi,moi loai da,1178,100,g
54414143,Sua Rua Mat NIVEA MEN Acne Oil Clear Bot Min Ngua Mun | Sach Sau (100 g) - 82378,82000,Trong 30 ngay,12,backorder,0 qua tang kem,576.0,548147,Khong,Co,Khong xac dinh,Xem tren bao bi,khong co thong tin,120849,,
73607516,Sua Rua Mat Diu Nhe Cetaphil Gentle Skin Cleanser 500ml,376000,Trong 30 ngay,4,backorder,0 qua tang kem,10.0,149699,Khong,Co,Canada,Xem tren bao bi,moi loai da,39998,500,ml
38375339,Sua Rua Mat Dang Gel Danh Cho Da Dau Nhay Cam Effaclar Gel Moussant Purifiant La Roche Posay 50ml,99000,Trong 30 ngay,0,instock,0 qua tang kem,737.0,47489,Khong,Co,Khong xac dinh,Xem tren bao bi,khong co thong tin,77814,50,ml
194487199,Sua rua mat tao xanh tao bot san innisfree Apple Seed Bubble Cleanser 150 ml - 131172732x,360000,Trong 30 ngay,0,instock,0 qua tang kem,149.0,202607,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,1,,
272126117,Combo 2 Sua rua mat Simple giup kiem dau ngua mun cho da mun nhay cam 150g x 2,264000,Trong 30 ngay,18,instock,0 qua tang kem,1757.0,185075,Khong,Co,Ba Lan,Xem tren bao bi,khong co thong tin,1,150,g
470478,Sua rua mat tao bot cho da hon hop & da dau rat nhay cam & kich ung La Roche-Posay Toleriane Foaming Cream (125ml),435000,Trong 30 ngay,0,instock,0 qua tang kem,15.0,47489,Khong,Co,Phap,Xem tren bao bi,khong co thong tin,4887,125,ml
37745284,SUA RUA MAT THORAKAO HAT NGHE 100G,54900,Trong 30 ngay,0,backorder,0 qua tang kem,86.0,199937,Khong,Co,Viet Nam,Xem tren bao bi,khong co thong tin,165433,,
125732286,[NK My] Sua rua mat St.Ives 170g nhieu mui huong - TD Shop,99000,Trong 30 ngay,0,backorder,0 qua tang kem,147.0,21733,Khong,Co,My,Xem tren bao bi,da hon hop,202940,170,g
262729479,Combo 2 Sua Rua Mat Tao Bot Chiet Xuat To Tam Trang Senka Perfect Whip 120g,218000,Trong 30 ngay,0,instock,1 qua tang kem,9.0,86206,Khong,Co,Nhat Ban,Xem tren bao bi,khong co thong tin,6423,120,g
263104111,Combo Sua rua mat Simple giup kiem dau va ngua mun hieu qua - cho da mun nhay cam 150ml + Nuoc hoa hong Simple 200ML[Chinh Hang Doc Quyen],292500,Trong 30 ngay,22,instock,0 qua tang kem,1162.0,185075,Khong,Co,Ba Lan,Xem tren bao bi,"da dau, da thuong",1,150,ml
25742819,Floslek Sua Rua Mat Dang Gel Cho Da Nhon Mun Anti Acne Bacterial Face Cleansing Gel 125ml,296500,Trong 30 ngay,24,instock,0 qua tang kem,185.0,113716,Khong,Co,Ba Lan,Xem tren bao bi,"da mun, da dau",11978,125,ml
162144054,Sua Rua Mat Tao Bot To Tam Sach Thoang Khong Kho Da Co Mem 150ml,150000,Trong 30 ngay,0,backorder,0 qua tang kem,137.0,372895,Khong,Co,Viet Nam,Xem tren bao bi,moi loai da,39419,150,ml
507131,Combo Sua Rua Mat Chiet Xuat Tu Gao 3W Clinic Brown Rice Foam Cleansing (100ml) + Sua Rua Mat Chiet Xuat Tu Tra Xanh 3W Clinic Green Tea Foam Cleansing (100ml),85000,Trong 30 ngay,35,backorder,0 qua tang kem,1701.0,48381,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,8218,100,ml
1196187,Sua Rua Mat Than Hoat Tinh 3W Clinic (100ml),25000,Trong 30 ngay,0,backorder,0 qua tang kem,31.0,48381,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,17902,100,ml
190645315,Sua Rua Mat Diu Nhe Cho Da Kho CeraVe Hydrating Cleanser 236ml,320000,Trong 30 ngay,10,instock,0 qua tang kem,82.0,332519,Khong,Co,My,Xem tren bao bi,da kho,11978,236,ml
9984733,Sua Rua Mat Duong Am Lam Sach Sau 3W Clinic Cleansing Foam (100ml),34000,Trong 30 ngay,0,backorder,0 qua tang kem,111.0,48381,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,55150,100,ml
486653,Sua Rua Mat Chiet Xuat Tu Tra Xanh 3W Clinic Green Tea Foam Cleansing (100ml),50000,Trong 30 ngay,0,backorder,0 qua tang kem,2281.0,48381,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,8218,100,ml
190645308,Sua Rua Mat Diu Nhe Cho Da Kho CeraVe Hydrating Cleanser 473ml,430000,Trong 30 ngay,5,instock,0 qua tang kem,120.0,332519,Khong,Co,My,Xem tren bao bi,da kho,11978,473,ml
201608024,Sua rua mat COSRX Salicylic Axit 0.5% 150ml tai tao da hieu qua,250000,Trong 30 ngay,36,backorder,0 qua tang kem,846.0,284381,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,16350,150,ml
1601729,Sua Rua Mat Tao Bot The Body Shop Tea Tree (150ml),449000,Trong 30 ngay,0,instock,0 qua tang kem,367.0,160941,Khong,Co,Anh,Xem tren bao bi,khong co thong tin,1837,150,ml
462226,Sua Rua Mat Sach Mun Dau Den ST.IVES Tra Xanh 170g - 077043358023,115000,Trong 30 ngay,0,backorder,0 qua tang kem,103.0,21733,Khong,Khong,My,Xem tren bao bi,khong co thong tin,7731,170,g
684872,Sua Rua Mat Sam Do My Gold (130ml),105000,Trong 30 ngay,2,backorder,0 qua tang kem,187.0,33529,Khong,Co,Han Quoc,Xem tren bao bi,moi loai da,37079,130,ml
190630654,Sua Rua Mat Diu Nhe Cho Da Kho CeraVe SA Smoothing Cleanser 236ml,320000,Trong 30 ngay,14,instock,0 qua tang kem,75.0,332519,Khong,Co,My,Xem tren bao bi,"da kho, da co dia",11978,236,ml
8708414,"Sua Rua Mat Cho Da Dau, Mun Uriage Hyseac Cleansing Gel",363000,Trong 30 ngay,10,instock,0 qua tang kem,182.0,144852,Khong,Co,Phap,Xem tren bao bi,"da mun, da dau",932,,
10596319,Sua rua mat khang viem giam mun Peppermint Facial Wash 100ml,75000,Trong 30 ngay,0,backorder,0 qua tang kem,70.0,190337,Khong,Co,Sri LanKa,Xem tren bao bi,moi loai da,19333,100,ml
545471,Combo 2 Sua Rua Mat Chiet Xuat Tu Tra Xanh 3W Clinic Green Tea Foam Cleansing (100ml),88000,Trong 30 ngay,37,backorder,0 qua tang kem,1565.0,48381,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,8218,100,ml
116455410,"Sua Rua Mat Tram Tra Nano Nghe Ngan Ngua Mun, Lam Sach Da Diu Nhe Cho Da Mun Nhay Cam MILAGANICS 30ml (Chai)",38000,Trong 30 ngay,34,backorder,0 qua tang kem,354.0,32909,Khong,Co,Viet Nam,Xem tren bao bi,moi loai da,-1,30,ml
2623229,Sua Rua Mat SVR Sebiaclear Gel Moussant  (50ml),150000,Trong 30 ngay,17,instock,0 qua tang kem,439.0,52207,Khong,Co,Phap,Xem tren bao bi,khong co thong tin,10638,50,ml
76403953,Sua rua mat danh cho da mun Acne Care Clarifying Foam Cleanser Fresh White Sand by TENAMYD 120ml,289000,Trong 30 ngay,20,backorder,0 qua tang kem,100.0,254399,Co,Co,Han Quoc,Xem tren bao bi,"da mun, da dau",152989,120,ml
545480,Combo 2 Sua Rua Mat Chiet Xuat Tu Gao 3W Clinic Brown Rice Foam Cleansing (100ml),58000,Trong 30 ngay,0,backorder,0 qua tang kem,1237.0,48381,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,26890,100,ml
639335,Sua Rua Mat Sach Mun Dau Den St.Ives Tra Xanh (170g),115000,Trong 30 ngay,0,backorder,0 qua tang kem,99.0,21733,Khong,Co,My,Xem tren bao bi,moi loai da,7731,170,g
55984957,Sua rua mat duong am sang hong da Whoo GJH Soo Hydrating Foam Cleanser 40ml,200000,Trong 30 ngay,28,backorder,0 qua tang kem,81.0,416127,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,108961,40,ml
54616002,Sua Rua Mat Dr Huong Thanh Moc Huong,150000,Trong 30 ngay,0,backorder,0 qua tang kem,38.0,238003,Co,Co,Viet Nam,Xem tren bao bi,khong co thong tin,8771,,
8289034,Sua rua mat Tra Xanh cao cap Han Quoc Dabo Green Tea (180ml) - Hang Chinh Hang,95000,Trong 30 ngay,0,backorder,0 qua tang kem,84.0,21253,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,26890,180,ml
16316850,Sua rua mat Some By Mi AHA-BHA-PHA 30 Days Miracle Acne Clear Foam,195000,Trong 30 ngay,0,backorder,0 qua tang kem,0.0,250531,Co,Co,Han Quoc,Xem tren bao bi,moi loai da,253806,,
149404799,SUA RUA MAT KHONG XA PHONG SVR SEBIACLEAR (DA MUN) -  GEL MOUSSANT 55mL - 200mL,119000,Trong 30 ngay,2,instock,0 qua tang kem,207.0,52207,Khong,Co,Viet Nam,Xem tren bao bi,da mun,70836,,
152494727,Sua Rua Mat Khong Chua Xa Phong Danh Cho Da Nhon Mun SVR Sebiaclear Gel Moussant 55ml ,140000,Trong 30 ngay,29,backorder,0 qua tang kem,82.0,52207,Khong,Co,Phap,Xem tren bao bi,"da mun, da dau",11978,55,ml
